	tweet_id	jpg_url	prob_breed	timestamp	source	text	expanded_urls	rating_numerator	rating_denominator	name	doggo	floofer	pupper	puppo	num_likes	num_retweets
1	666029285002620928	https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg	redbone	2015-11-15 23:05:30 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI	https://twitter.com/dog_rates/status/666029285002620928/photo/1	7.0	10.0	a	None	None	None	None	129.0	47.0
3	666044226329800704	https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg	Rhodesian_ridgeback	2015-11-16 00:04:52 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx	https://twitter.com/dog_rates/status/666044226329800704/photo/1	6.0	10.0	a	None	None	None	None	295.0	139.0
7	666057090499244032	https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg	golden_retriever	2015-11-16 00:55:59 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O	https://twitter.com/dog_rates/status/666057090499244032/photo/1	9.0	10.0	a	None	None	None	None	293.0	141.0
8	666058600524156928	https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg	miniature_poodle	2015-11-16 01:01:59 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p	https://twitter.com/dog_rates/status/666058600524156928/photo/1	8.0	10.0	the	None	None	None	None	111.0	57.0
10	666071193221509120	https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg	Gordon_setter	2015-11-16 01:52:02 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx	https://twitter.com/dog_rates/status/666071193221509120/photo/1	9.0	10.0	None	None	None	None	None	144.0	59.0
11	666073100786774016	https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg	Walker_hound	2015-11-16 01:59:36 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY	https://twitter.com/dog_rates/status/666073100786774016/photo/1	10.0	10.0	None	None	None	None	None	318.0	162.0
14	666099513787052032	https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg	Lhasa	2015-11-16 03:44:34 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C	https://twitter.com/dog_rates/status/666099513787052032/photo/1	8.0	10.0	None	None	None	None	None	153.0	67.0
15	666102155909144576	https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg	English_setter	2015-11-16 03:55:04 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq	https://twitter.com/dog_rates/status/666102155909144576/photo/1	11.0	10.0	None	None	None	None	None	80.0	12.0
16	666273097616637952	https://pbs.twimg.com/media/CT8T1mtUwAA3aqm.jpg	Italian_greyhound	2015-11-16 15:14:19 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Can take selfies 11/10 https://t.co/ws2AMaNwPW	https://twitter.com/dog_rates/status/666273097616637952/photo/1	11.0	10.0	None	None	None	None	None	173.0	76.0
17	666287406224695296	https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg	Maltese_dog	2015-11-16 16:11:11 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv	https://twitter.com/dog_rates/status/666287406224695296/photo/1	10.0	2.0	an	None	None	None	None	146.0	64.0
18	666337882303524864	https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg	Newfoundland	2015-11-16 19:31:45 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL	https://twitter.com/dog_rates/status/666337882303524864/photo/1	9.0	10.0	an	None	None	None	None	197.0	90.0
19	666345417576210432	https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg	golden_retriever	2015-11-16 20:01:42 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB	https://twitter.com/dog_rates/status/666345417576210432/photo/1	10.0	10.0	None	None	None	None	None	290.0	133.0
20	666353288456101888	https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg	malamute	2015-11-16 20:32:58 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO	https://twitter.com/dog_rates/status/666353288456101888/photo/1	8.0	10.0	None	None	None	None	None	218.0	71.0
22	666396247373291520	https://pbs.twimg.com/media/CT-D2ZHWIAA3gK1.jpg	Chihuahua	2015-11-16 23:23:41 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE	https://twitter.com/dog_rates/status/666396247373291520/photo/1	9.0	10.0	None	None	None	None	None	167.0	84.0
23	666407126856765440	https://pbs.twimg.com/media/CT-NvwmW4AAugGZ.jpg	black-and-tan_coonhound	2015-11-17 00:06:54 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h	https://twitter.com/dog_rates/status/666407126856765440/photo/1	7.0	10.0	a	None	None	None	None	106.0	40.0
24	666418789513326592	https://pbs.twimg.com/media/CT-YWb7U8AA7QnN.jpg	toy_terrier	2015-11-17 00:53:15 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn	https://twitter.com/dog_rates/status/666418789513326592/photo/1	10.0	10.0	Walter	None	None	None	None	123.0	45.0
25	666421158376562688	https://pbs.twimg.com/media/CT-aggCXAAIMfT3.jpg	Blenheim_spaniel	2015-11-17 01:02:40 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	*internally screaming* 12/10 https://t.co/YMcrXC2Y6R	https://twitter.com/dog_rates/status/666421158376562688/photo/1	12.0	10.0	None	None	None	None	None	315.0	111.0
26	666428276349472768	https://pbs.twimg.com/media/CT-g-0DUwAEQdSn.jpg	Pembroke	2015-11-17 01:30:57 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK	https://twitter.com/dog_rates/status/666428276349472768/photo/1	7.0	10.0	None	None	None	None	None	165.0	83.0
28	666435652385423360	https://pbs.twimg.com/media/CT-nsTQWEAEkyDn.jpg	Chesapeake_Bay_retriever	2015-11-17 02:00:15 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU"	https://twitter.com/dog_rates/status/666435652385423360/photo/1	10.0	10.0	None	None	None	None	None	165.0	53.0
32	666644823164719104	https://pbs.twimg.com/media/CUBl6IwVAAA9_zT.jpg	Ibizan_hound	2015-11-17 15:51:26 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10 https://t.co/LEkZjZxESQ	https://twitter.com/dog_rates/status/666644823164719104/photo/1	9.0	10.0	Jimothy	None	None	None	None	232.0	83.0
34	666691418707132416	https://pbs.twimg.com/media/CUCQTpEWEAA7EDz.jpg	German_shepherd	2015-11-17 18:56:35 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Christoper. He is a spotted Penne. Can easily navigate stairs. 8/10 https://t.co/bg4TqvvkuF	https://twitter.com/dog_rates/status/666691418707132416/photo/1	8.0	10.0	Christoper	None	None	None	None	188.0	47.0
35	666701168228331520	https://pbs.twimg.com/media/CUCZLHlUAAAeAig.jpg	Labrador_retriever	2015-11-17 19:35:19 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a golden Buckminsterfullerene named Johm. Drives trucks. Lumberjack (?). Enjoys wall. 8/10 would hug softly https://t.co/uQbZJM2DQB	https://twitter.com/dog_rates/status/666701168228331520/photo/1	8.0	10.0	a	None	None	None	None	433.0	219.0
